"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"RTO_COMPLETE","193795002245353152_1","2025-09-01","Maharashtra","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","7-8 Years","1","240.0","240.0",
"DELIVERED","193795363726627392_1","2025-09-01","West Bengal","Agile Classy Girls Top & Bottom Sets","221-(Girls)(Hoodie)Shine-White+RB","7-8 Years","1","250.0","250.0",
"DELIVERED","193804199351586496_1","2025-09-01","Gujarat","Tinkle Stylus Boys Top & Bottom Sets","CHASHMA-PINK+BLACK-001","1-2 Years","1","350.0","350.0",
"RTO_COMPLETE","193812484016077952_1","2025-09-01","Maharashtra","Pretty Elegant Boys Top & Bottom Sets","345-(Boys)(Half Sleeve)(Summer)Black Teddy Full White","1-2 Years","1","180.0","180.0",
"DELIVERED","193844577893908224_1","2025-09-01","Chhattisgarh","Pretty Elegant Boys Top & Bottom Sets","4-(Boys)(Pocket)(HS)Smile-Orange+Black","12-13 Years","1","340.0","340.0",
"DELIVERED","193846692473241345_1","2025-09-01","West Bengal","Modern Elegant Boys Top & Bottom Sets","4-(Boys)(Pocket)(HS)Smile-SkyBlue+Black","13-14 Years","1","350.0","350.0",
"DELIVERED","193877426622723072_1","2025-09-01","Bihar","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","3-4 Years","1","200.0","200.0",
"DELIVERED","193896411858762880_1","2025-09-01","Jharkhand","Baby boy clothing set, Boy's ke kapde, kid's clothing set, children clothing wear, kid's wear,1 year boy clothes, 2 year boy dress,3 year boy kapde,4 year boy clothes,5 year boy dress","HF-BLUE-1","4-5 Years","1","210.0","210.0",
"DELIVERED","193898045103608384_1","2025-09-01","Karnataka","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","12-13 Years","1","290.0","290.0",
"DELIVERED","193898829916961920_1","2025-09-01","Uttar Pradesh","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Maroon+Black","12-13 Years","1","290.0","290.0",
"RTO_COMPLETE","193898910262203904_1","2025-09-01","Chhattisgarh","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Maroon+Black","2-3 Years","1","190.0","190.0",
"DELIVERED","193900404551225025_1","2025-09-01","Jharkhand","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","7-8 Years","1","240.0","240.0",
"RTO_COMPLETE","193901168722738944_1","2025-09-01","Kerala","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","3-4 Years","1","200.0","200.0",
"RTO_COMPLETE","193905103856500480_1","2025-09-01","Bihar","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","11-12 Years","1","280.0","280.0",
