"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"RTO_LOCKED","230399973128164032_1","2025-12-11","Madhya Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","6-7 Years","1","230.0","230.0",
"DELIVERED","230404466888692352_1","2025-12-11","Delhi","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","6-12 Months","1","170.0","170.0",
"DELIVERED","230409922029834944_1","2025-12-11","Haryana","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","6-7 Years","1","230.0","230.0",
"RTO_LOCKED","230412234714534592_1","2025-12-11","Tamil Nadu","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","6-12 Months","1","170.0","170.0",
"DELIVERED","230414547857746240_1","2025-12-11","Madhya Pradesh","Cool Boy Printed Top Bottom set for Boys and girls","(FS)(Lenghi)Cool Boy-Pista+Black","14-15 Years","1","350.0","350.0",
"CANCELLED","230440984945928512_1","2025-12-11","Tamil Nadu","Flawsome Elegant Boys Top & Bottom Sets","7-(BOYS)(FULL SLEEVE)BROOKLYN-WHITE+RED","3-4 Years","1","210.0","210.0",
"RTO_LOCKED","230456333519071552_1","2025-12-11","Uttar Pradesh","Cool Boy Printed Top Bottom set for Boys and girls","(FS)(Lenghi)Cool Boy-DarkPink+Black","2-3 Years","1","220.0","220.0",
"DELIVERED","230487431057811776_1","2025-12-11","Bihar","Cool Boy Printed Top Bottom set for Boys and girls","(FS)(Lenghi)Cool Boy-Pista+Black","9-10 Years","1","290.0","290.0",
"RTO_COMPLETE","230495924060705408_1","2025-12-11","Andhra Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","8-9 Years","1","250.0","250.0",
"RTO_LOCKED","230497117784789632_1","2025-12-11","Telangana","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","4-5 Years","1","210.0","210.0",
"DELIVERED","230503634030318210_1","2025-12-11","Kerala","Cool Boy Printed Top Bottom set for Boys and girls","(FS)(Lenghi)Cool Boy-Pista+Black","7-8 Years","1","270.0","270.0",
"DELIVERED","230507598503236288_1","2025-12-11","Andhra Pradesh","Cool Boy Printed Top Bottom set for Boys and girls","(FS)(Lenghi)Cool Boy-DarkPink+Black","12-13 Years","1","330.0","330.0",
"DELIVERED","230513897432789440_1","2025-12-11","Uttar Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","10-11 Years","1","270.0","270.0",
"DELIVERED","230513826285507200_1","2025-12-11","Uttar Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","10-11 Years","1","270.0","270.0",
"DELIVERED","230515347235910080_1","2025-12-11","Uttar Pradesh","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","5-6 Years","1","220.0","220.0",
"DELIVERED","230515809559292224_1","2025-12-11","West Bengal","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","12-13 Years","1","290.0","290.0",
"DELIVERED","230516689515882816_1","2025-12-11","Madhya Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","2-3 Years","1","190.0","190.0",
"DELIVERED","230517191156806080_1","2025-12-11","Madhya Pradesh","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","3-4 Years","1","200.0","200.0",
"DELIVERED","230517194772992640_1","2025-12-11","Karnataka","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","13-14 Years","1","300.0","300.0",
"DELIVERED","230519127381750208_1","2025-12-11","Uttar Pradesh","Cool Boy Printed Top Bottom set for Boys and girls","(FS)(Lenghi)Cool Boy-DarkPink+Black","5-6 Years","1","250.0","250.0",
"RTO_COMPLETE","230521757860478848_1","2025-12-11","Uttar Pradesh","Cool Boy Printed Top Bottom set for Boys and girls","(FS)(Lenghi)Cool Boy-DarkPink+Black","10-11 Years","1","300.0","300.0",
"DELIVERED","230522668192912064_1","2025-12-11","Uttar Pradesh","Cool Boy Printed Top Bottom set for Boys and girls","(FS)(Lenghi)Cool Boy-Pista+Black","12-13 Years","1","330.0","330.0",
"DELIVERED","230523507229872768_1","2025-12-11","Karnataka","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","1-2 Years","1","180.0","180.0",
"DELIVERED","230523797760922304_1","2025-12-11","Karnataka","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","3-4 Years","1","200.0","200.0",
"DELIVERED","230523741351031232_1","2025-12-11","Uttar Pradesh","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","8-9 Years","1","250.0","250.0",
"DELIVERED","230524608054317760_1","2025-12-11","Uttar Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","12-13 Years","1","290.0","290.0",
"DELIVERED","230525064215570752_1","2025-12-11","Bihar","Cool Boy Printed Top Bottom set for Boys and girls","(FS)(Lenghi)Cool Boy-DarkPink+Black","4-5 Years","1","240.0","240.0",
"RTO_COMPLETE","230525766910459776_1","2025-12-11","Uttar Pradesh","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Maroon+Black","10-11 Years","1","270.0","270.0",
"RTO_COMPLETE","230526011627819712_1","2025-12-11","Uttar Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","7-8 Years","1","240.0","240.0",
"RTO_LOCKED","230526583856021376_1","2025-12-11","Assam","Flawsome Elegant Boys Top & Bottom Sets","7-(BOYS)(FULL SLEEVE)BROOKLYN-WHITE+RED","11-12 Years","1","290.0","290.0",
"DELIVERED","230526875729941120_1","2025-12-11","Karnataka","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","13-14 Years","1","300.0","300.0",
"RTO_LOCKED","230527196757078528_1","2025-12-11","Madhya Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","5-6 Years","1","220.0","220.0",
"DELIVERED","230527420716138368_1","2025-12-11","Uttarakhand","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","6-7 Years","1","230.0","230.0",
"DELIVERED","230528795709649344_1","2025-12-11","Maharashtra","Cool Boy Printed Top Bottom set for Boys and girls","(FS)(Lenghi)Cool Boy-Pista+Black","3-4 Years","1","230.0","230.0",
"DELIVERED","230533052647190976_1","2025-12-11","Chandigarh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","14-15 Years","1","310.0","310.0",
"RTO_COMPLETE","230534201670412608_1","2025-12-11","Maharashtra","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","7-8 Years","1","240.0","240.0",
