"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","186546856607908480_1","2025-08-12","Rajasthan","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","6-7 Years","1","290.0","290.0",
"RTO_COMPLETE","186547680246263936_1","2025-08-12","Maharashtra","Cute Trendy Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","7-8 Years","1","240.0","240.0",
"DELIVERED","186547819167122048_1","2025-08-12","West Bengal","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","10-11 Years","1","270.0","270.0",
"DELIVERED","186548517874143489_1","2025-08-12","Delhi","Modern Elegant Girls Top & Bottom Sets","14-(Girls)(FS)Love Panda hand-Pista+Black","2-3 Years","1","190.0","190.0",
"DELIVERED","186548780995494080_1","2025-08-12","Telangana","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","11-12 Years","1","340.0","340.0",
"DELIVERED","186548765942903360_1","2025-08-12","Uttarakhand","Cute Elegant Girls Top & Bottom Sets","14-(Girls)(FS)Love Panda hand-Mahendi+Black","10-11 Years","1","270.0","262.0",
"RTO_COMPLETE","186550670214590592_1","2025-08-12","Jharkhand","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","8-9 Years","1","310.0","310.0",
"DELIVERED","186551124524822656_1","2025-08-12","Delhi","Tinkle Elegant Kids Girls Trackpants","PLAZA PINK AND BLACK","13-14 Years","1","310.0","310.0",
"DELIVERED","186551716097847424_1","2025-08-12","Uttarakhand","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","4-5 Years","1","270.0","262.0",
"DELIVERED","186552559199088768_1","2025-08-12","Uttar Pradesh","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","9-10 Years","1","320.0","320.0",
"DELIVERED","186553244280131840_1","2025-08-12","Delhi","Tinkle Elegant Kids Girls Trackpants","PLAZA PINK AND BLACK","9-10 Years","1","270.0","270.0",
"DELIVERED","186553367362601664_1","2025-08-12","Delhi","Cutiepie Elegant Girls Top & Bottom Sets","(Girls)(Joggeres)Butterfly-White+DarkPink","6-7 Years","1","270.0","262.0",
"RTO_COMPLETE","186553421243122304_1","2025-08-12","West Bengal","Princess Elegant Boys Top & Bottom Sets","10-(Boys)(Full sleeve)Tom&Jerry-Pista+Black","1-2 Years","1","200.0","200.0",
"DELIVERED","186554934531228288_1","2025-08-12","Odisha","Agile Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","4-5 Years","1","210.0","210.0",
"DELIVERED","186559459676418176_1","2025-08-12","Maharashtra","Cutiepie Elegant Boys Top & Bottom Sets","448-(Boys)(Full Sleeve)Nice-White+Black","4-5 Years","1","270.0","270.0",
