"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","186546830204498497_1","2025-08-12","Kerala","Princess Elegant Girls Top & Bottom Sets","94(Girls)(Half Sleeve)-Baby Hair-White+Baby Pink","1-2 Years","1","260.0","260.0",
"CANCELLED","186547269763138244_1","2025-08-12","Karnataka","Flawsome Funky Boys Top & Bottom Sets","122- King Pista","6-7 Years","1","220.0","214.0",
"DELIVERED","186548883878343232_1","2025-08-12","Gujarat","Cutiepie Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","8-9 Years","1","250.0","250.0",
"DELIVERED","186550646186246848_1","2025-08-12","Telangana","Flawsome Funky Boys Top & Bottom Sets","122- King Pista","4-5 Years","1","200.0","200.0",
"DELIVERED","186559483458121856_1","2025-08-12","Rajasthan","Modern Elegant Girls Top & Bottom Sets","62-(Girls)(Digital)LoveFlowers-Full White","9-10 Years","1","280.0","280.0",
"DELIVERED","186563218049831168_1","2025-08-12","Rajasthan","Flawsome Funky Boys Top & Bottom Sets","122- King Pista","6-7 Years","1","220.0","220.0",
"CANCELLED","186565629393568448_1","2025-08-12","Madhya Pradesh","Princess Elegant Girls Top & Bottom Sets","18-(GIRLS)(FS)(JOGG)Sketing Girl-Black+Peach","3-4 Years","1","270.0","270.0",
"CANCELLED","186570164174881408_1","2025-08-12","Madhya Pradesh","Princess Elegant Girls Top & Bottom Sets","18-(GIRLS)(FS)(JOGG)Sketing Girl-Black+Peach","11-12 Years","1","350.0","350.0",
"DELIVERED","186587957774487808_1","2025-08-12","Uttar Pradesh","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","6-7 Years","1","230.0","230.0",
"DELIVERED","186616615855767744_1","2025-08-12","Assam","Flawsome Elegant Boys Top & Bottom Sets","181-(Boys)(Half Sleeve)Main Tine-White+Black","11-12 Years","1","290.0","290.0",
"DELIVERED","186636882666619520_1","2025-08-12","Maharashtra","Princess Elegant Girls Top & Bottom Sets","18-(GIRLS)(FS)(JOGG)Sketing Girl-Black+Peach","3-4 Years","1","270.0","270.0",
"RTO_COMPLETE","186649350368985792_1","2025-08-12","West Bengal","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Maroon+Black","13-14 Years","1","300.0","300.0",
"DELIVERED","186650310130598592_1","2025-08-12","Odisha","Pretty Elegant Boys Top & Bottom Sets","8-(Boys)(Full Sleeve)-Smile And Hug Every Day-White+Black","6-7 Years","1","260.0","260.0",
"DELIVERED","186655476035907712_1","2025-08-12","West Bengal","Cutiepie Elegant Boys Top & Bottom Sets","336-(Boys)(Digital)Future Rock Green -Digital+Full Black","8-9 Years","1","280.0","280.0",
"RTO_COMPLETE","186656524452524160_1","2025-08-12","Tamil Nadu","Cutiepie Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","9-10 Years","1","260.0","260.0",
"DELIVERED","186659526806913216_1","2025-08-12","Uttar Pradesh","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Maroon+Black","12-13 Years","1","290.0","290.0",
"DELIVERED","186659769849975040_1","2025-08-12","Karnataka","Flawsome Elegant Boys Top & Bottom Sets","12-(Boys)ABCD-Full Sleeve -White","2-3 Years","1","220.0","220.0",
"DELIVERED","186661208589632128_1","2025-08-12","Karnataka","Flawsome Elegant Boys Top & Bottom Sets","13-(Full sleeve)Every day mood 4 Tom-Maroon+Black","6-7 Years","1","250.0","250.0",
"DELIVERED","186664295256604864_1","2025-08-12","Kerala","Flawsome Funky Boys Top & Bottom Sets","122- King Pista","10-11 Years","1","260.0","260.0",
"DELIVERED","186664295256604864_2","2025-08-12","Kerala","Flawsome Funky Boys Top & Bottom Sets","122- King Pista","11-12 Years","1","270.0","270.0",
"DELIVERED","186664713688760512_1","2025-08-12","Andhra Pradesh","Flawsome Elegant Girls Top & Bottom Sets","120-(Girls)Smile-Sky Blue&White","4-5 Years","1","290.0","290.0",
"CANCELLED","186664815568404672_1","2025-08-12","West Bengal","Pretty Elegant Boys Top & Bottom Sets","8-(Boys)(Full Sleeve)-Smile And Hug Every Day-White+Black","6-7 Years","1","260.0","260.0",
"DELIVERED","186667372848902720_1","2025-08-12","Bihar","Flawsome Elegant Boys Top & Bottom Sets","181-(Boys)(Half Sleeve)Main Tine-White+Black","11-12 Years","1","290.0","290.0",
