"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"RTO_COMPLETE","186547145594962624_1","2025-08-12","Andhra Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","8-9 Years","1","250.0","250.0",
"RTO_COMPLETE","186552563600228992_1","2025-08-12","Uttar Pradesh","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","12-13 Years","1","290.0","290.0",
"RTO_COMPLETE","186557887013744768_1","2025-08-12","Uttar Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","14-15 Years","1","310.0","310.0",
"DELIVERED","186566816733303043_1","2025-08-12","Uttarakhand","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","3-4 Years","1","200.0","200.0",
"DELIVERED","186583784819495168_1","2025-08-12","Himachal Pradesh","Pretty Fancy Girls Top & Bottom Sets","12-(Girls)(Half Sleeve)Too Cute-Pink+Grey","9-10 Years","1","255.0","255.0",
"CANCELLED","186624302862598784_1","2025-08-12","Rajasthan","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","10-11 Years","1","270.0","270.0",
"DELIVERED","186648255722131712_1","2025-08-12","Goa","Modern Comfy Girls Top & Bottom Sets","(Girls)Brooklyn USA-SkyBlue+White","11-12 Years","1","240.0","240.0",
"DELIVERED","186650583662359104_1","2025-08-12","Rajasthan","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","10-11 Years","1","270.0","270.0",
"DELIVERED","186650812621292160_1","2025-08-12","Gujarat","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","10-11 Years","1","270.0","270.0",
"DELIVERED","186657810048643200_1","2025-08-12","Odisha","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","14-15 Years","1","310.0","310.0",
"DELIVERED","186657746979176643_1","2025-08-12","Maharashtra","158-(Girls)(half Sleeve)Butterfly Flower-Black+Baby Pink","158-(Girls)(half Sleeve)Butterfly Flower-Black+Baby Pink","11-12 Years","1","333.0","327.0",
"DELIVERED","186665218981298880_1","2025-08-12","Uttar Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","13-14 Years","1","300.0","300.0",
"DELIVERED","186665352409673864_1","2025-08-12","Madhya Pradesh","Flawsome Stylish Girls Top & Bottom Sets","10-(Girls)Princess-Pink+White+Grey","12-13 Years","1","310.0","310.0",
"CANCELLED","186665707809828992_1","2025-08-12","Maharashtra","94(Girls)(Half Sleeve)-Baby Hair-White+Baby Pink","94(Girls)(Half Sleeve)-Baby Hair-White+Baby Pink","13-14 Years","1","360.0","353.0",
"DELIVERED","186667168182800640_1","2025-08-12","Himachal Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","8-9 Years","1","250.0","250.0",
"DELIVERED","186669802843246848_1","2025-08-12","Bihar","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","6-7 Years","1","230.0","230.0",
"DELIVERED","186672164412559616_1","2025-08-12","West Bengal","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","8-9 Years","1","250.0","250.0",
"CANCELLED","186674691716711040_1","2025-08-12","Madhya Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","1-2 Years","1","180.0","180.0",
"RTO_COMPLETE","186679492861002368_1","2025-08-12","Uttar Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","10-11 Years","1","270.0","270.0",
"DELIVERED","186683115619779200_1","2025-08-12","Chhattisgarh","158-(Girls)(half Sleeve)Butterfly Flower-Black+Baby Pink","158-(Girls)(half Sleeve)Butterfly Flower-Black+Baby Pink","8-9 Years","1","304.0","304.0",
"CANCELLED","186688724079243840_1","2025-08-12","Punjab","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","10-11 Years","1","270.0","270.0",
"DELIVERED","186689020649246976_1","2025-08-12","Bihar","157-(Girls)(Half Sleeve)-Pink Ribbon-White+Pink","157-(Girls)(Half Sleeve)-Pink Ribbon-White+Pink","5-6 Years","1","280.0","280.0",
"CANCELLED","186691495330627776_1","2025-08-12","Punjab","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","10-11 Years","1","270.0","270.0",
"DELIVERED","186692503994663552_1","2025-08-12","Bihar","158-(Girls)(half Sleeve)Butterfly Flower-Black+Baby Pink","158-(Girls)(half Sleeve)Butterfly Flower-Black+Baby Pink","14-15 Years","1","353.0","353.0",
"DELIVERED","186694929270149376_1","2025-08-12","Haryana","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","7-8 Years","1","240.0","240.0",
"DELIVERED","186700918732911168_1","2025-08-12","Madhya Pradesh","Princess Classy Boys Top & Bottom Sets","(Boys)(Half Sleeve+Chadda)Duck-AquaBlue+Black","9-10 Years","1","250.0","245.0",
"DELIVERED","186701361986732736_1","2025-08-12","Odisha","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","2-3 Years","1","190.0","190.0",
"DELIVERED","186707349230355072_1","2025-08-12","Gujarat","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","5-6 Years","1","220.0","220.0",
"DELIVERED","186707822200554176_1","2025-08-12","Madhya Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","4-5 Years","1","210.0","210.0",
"DELIVERED","186710682833547840_1","2025-08-12","Uttar Pradesh","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","10-11 Years","1","270.0","270.0",
"DELIVERED","186714152969765568_1","2025-08-12","Gujarat","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Pista+Black","6-7 Years","1","230.0","230.0",
"DELIVERED","186717305860812928_1","2025-08-12","Tamil Nadu","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","7-8 Years","1","240.0","240.0",
"DELIVERED","186719273883058368_1","2025-08-12","Maharashtra","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","2-3 Years","1","190.0","190.0",
"DELIVERED","186720031228592768_1","2025-08-12","Uttar Pradesh","Modern Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Yellow+Black","14-15 Years","1","310.0","310.0",
"DELIVERED","186727120041439360_1","2025-08-12","Madhya Pradesh","Princess Elegant Boys Top & Bottom Sets","218-(Boys)(Full Sleeve)-RUN-Mahendi+Black","4-5 Years","1","210.0","210.0",
"DELIVERED","186730853933810304_1","2025-08-12","Rajasthan","Flawsome Stylish Girls Top & Bottom Sets","10-(Girls)Princess-Pink+White+Grey","13-14 Years","1","320.0","311.0",
"RTO_COMPLETE","186732694146941568_1","2025-08-12","Assam","Tinkle Fancy Unisex top and bottom set","446-(Boys)(Half Sleeve)-White","8-9 Years","1","310.0","310.0",
