Parent_SKU,Child_SKU
boy_nice_green,boy_nice_green
boy_nice_green,boy_nice_white_green
boy_nice_green,boy_nice_white_green_c2
boy_nice_green,boy_nice_white_green_c3
boy_nice_green,boy_nice_white_green_c4
boy_nice_white_brown,boy_nice_white_brown
boy_nice_white_brown,boy_nice_white_brown_c2
boy_nice_white_brown,boy_nice_white_brown_c3
girl_dark_pink_flower,girl_dark_pink_flower_c1
girl_dark_pink_flower,girl_dark_pink_flower_c2
girl_dark_pink_flower,girl_flowerring_darkpink_c3
girl_red_flower_c1,girl_red_flower_c1
girl_red_flower_c1,girl_red_flower_c2
girl_red_flower_c1,girl_flowerring_red_c2
girl_red_flower_c1,girl_flowerring_red_c3
girl_methi_flower_c1,girl_methi_flower_c1
girl_methi_flower_c1,girl_flowerring_pista_c3
girl_methi_flower_c1,girl_flowerring_pista_c2
girl_light_pink_flower_c1,girl_light_pink_flower_c1
boy_run_marron_c1, boy_run_marron_c1
boy_run_blue_c1,boy_run_blue_c1
boy_run_yellow_c1,boy_run_yellow_c1
boy_run_green_c1,boy_run_green_c1
boy_run_blue_c1,boy_run_pista_c5
boy_run_green_c1,boy_run_green_c5
boy_run_marron_c1,boy_run_marron_c2
boy_run_marron_c1,boy_run_marron_c3
boy_run_marron_c1,boy_run_marron_c4
boy_run_blue_c1,boy_run_blue_c2
boy_run_yellow_c1,boy_run_c2
boy_run_yellow_c1,boy_run_yellow_c4
boy_run_yellow_c1,boy_run_yellow_c3
boy_run_green_c1,boy_run_green_c2
boy_black_brown_mario,black_mario
boy_black_brown_mario,boy_black_brown_mario
boy_white_brown_mario,boy_white_brown_mario
boy_white_orange_mario,orange_white_mario
boy_white_orange_mario,boy_white_orange_mario
girl_methi_heart_c1,girl_methi_heart_c1
girl_white_pink_butterfly,girl_white_pink_butterfly
boy-nice-black-c1,boy-nice-black-c1
boy-nice-black-c1,boy-nice-black-c2
boy-nice-black-c1,boy-nice-black-c3
girl_happylook_pista_c2,girl_happylook_pista_c2
girl_happylook_skyblue_c2,girl_happylook_skyblue_c2
girl_happylook_lightpink_c2,girl_happylook_lightpink_c2
girl_happylook_yellow_c2,girl_happylook_yellow_c2
girl_happylook_darkpink_c2,girl_happylook_darkpink_c2
girl_dhingli_lightpink_c1,girl_dhingli_lightpink_c1
girl_dhingli_skyblue_c1,girl_dhingli_skyblue_c1
girl_dhingli_yellow_c1,girl_dhingli_yellow_c1
girl_dhingli_pista_c1,girl_dhingli_pista_c1
boy_la_skyblue_c1,boy_la_skyblue_c1
boy_la_pista_c1,boy_la_pista_c1
boy_la_white_c1,boy_la_white_c1
boy_la_yellow_c1,boy_la_yellow_c1
boy_la_royalblue_c1,boy_la_royalblue_c1
boy_la_aquablue_c1,boy_la_aquablue_c1
boy_la_marron_c1,boy_la_marron_c1
girl_happylook_pista_c2,girl_happylooks_pista_c3
girl_happylook_skyblue_c2,girl_happylooks_skyblue_c3
girl_happylook_lightpink_c2,girl_happylooks_lightpink_c3
girl_happylook_yellow_c2,girl_happylooks_yellow_c3
girl_bicflower_pista_c1,girl_bicflower_pista_c1
girl_bicflower_pista_c1,girl_bicflower_pista_c4
girl_bicflower_pista_c1,girl_bicflower_pista_c3
girl_bicflower_lightpink_c1,girl_bicflower_lightpink_c3
girl_bicflower_lightpink_c1,girl_bicflower_lightpink_c4
girl_bicflower_yellow_c1,girl_bicflower_yellow_c3
girl_bicflower_yellow_c1,girl_bicflower_yellow_c4
boy_nice_green,boy_nice_green_c5
girl_methi_flower_c1,girl_flowering_pista_c2
boy_urban_orange_c2,boy_urban_orange_c2
boy_urban_orange_c2,boy_urban_orange_c1
boy_urban_red_c2,boy_urban_red_c2
boy_urban_mahedi_c2,boy_urban_mahedi_c2
boy_urban_royalblue_c2,boy_urban_royalblue_c2
boy_urban_orange_c2,boy_urbanexplore_orange_c3
boy_urban_red_c2,boy_urbanexplore_red_c3
boy_urban_mahedi_c2,boy_urbanexplore_mahedi_c3
boy_urban_royalblue_c2,boy_urbanexplore_royalblue_c3
boy_nolimit_orange_c3,boy_nolimit_orange_c2
girl_bicflower_pista_c1,girl_bicflower_pista_c5
boy_nice_white_brown,boy_nice_white_brown_c4
girl_bicflower_yellow_c1,girl_bicflower_yellow_c4
wmen_ black_skyblue_tshirt,wmen_black_skyblue_tshirt_c2
boy_run_green_c1,boy_run_mahedi_c3
girl_horse_white_purple_c1,girl_horse_white_purple_c2
girl_horse_white_purple_c1,girl_horse_white_purple_c5
girl_horse_white_purple_c1,girl_horse_white_purple_c6
boy_nicepanda_mahedi_c3,boy_nicepanda_mahedi_c2
boy_nicepanda_marron_c3,boy_nicepanda_marron_c2
boy_nicepanda_pista_c3,boy_nicepanda_pista_c2
girl_bicflower_yellow_c1,girl_bicflower_yellow_c5
girl_horse_white_purple_c1,girl_horse_white_purple_c3
girl_bicflower_lightpink_c1,girl_bicflower_lightpink_c5
boy_nice_green,boy_nice_white_green_c5
boy_run_green_c1,boy_run_mahedi_c4
boy_nice_white_brown,boy_nice_white_brown_c5
girl_red_flower_c1,girl_flowerring_red_c4
girl_bigflower_pink_c1,girl_bigflower_pink_c2
girl_bigflower_pink_c1,girl_bigflower_pink_c5
girl_bigflower_pista_c1,girl_bigflower_pista_c5
girl_bigflower_pista_c1,girl_bigflower_pista_c2
girl_bigflower_pink_c1,girl_bigflower_pink_c3
girl_bigflower_pista_c1,girl_bigflower_pista_c4
boy_run_yellow_c1,boy_run_yellow_c5
boy_run_marron_c1,boy_run_marron_c5
