Customer State,Total Orders,Delivered Orders,RTO Orders,Cancelled Orders,Exchanged Orders,Delivered %,RTO %,Cancelled %,Exchanged %
Pashchim Banga (West Bengal),1,1,0,0,0,100.0,0.0,0.0,0.0
Malda District,1,0,1,0,0,0.0,100.0,0.0,0.0
Jammu &kashmir,1,1,0,0,0,100.0,0.0,0.0,0.0
KARNATAKA,1,1,0,0,0,100.0,0.0,0.0,0.0
MADHYA PRADESH,1,1,0,0,0,100.0,0.0,0.0,0.0
Madaypardesh,1,1,0,0,0,100.0,0.0,0.0,0.0
Madhya  Pradesh,1,1,0,0,0,100.0,0.0,0.0,0.0
Dadra & Nagar Haveli,1,1,0,0,0,100.0,0.0,0.0,0.0
Arunachal pradesh,1,1,0,0,0,100.0,0.0,0.0,0.0
ANDHRAPRADESH,1,1,0,0,0,100.0,0.0,0.0,0.0
Ahmedabad District,1,0,1,0,0,0.0,100.0,0.0,0.0
Daman& Diu,1,1,0,0,0,100.0,0.0,0.0,0.0
BIhar,1,0,1,0,0,0.0,100.0,0.0,0.0
Shahpur,1,1,0,0,0,100.0,0.0,0.0,0.0
Tamil  Nadu,1,0,1,1,0,0.0,100.0,100.0,0.0
chandigarh,1,1,0,0,0,100.0,0.0,0.0,0.0
arunachal pradesh,1,0,0,0,0,0.0,0.0,0.0,0.0
andhra  pradesh,1,0,1,0,0,0.0,100.0,0.0,0.0
WestBengal,1,0,1,1,0,0.0,100.0,100.0,0.0
RAJASTHAN,1,1,0,0,0,100.0,0.0,0.0,0.0
TAMILNADU,1,1,0,0,0,100.0,0.0,0.0,0.0
Tamil  nadu,1,1,0,0,0,100.0,0.0,0.0,0.0
UP,1,1,0,0,0,100.0,0.0,0.0,0.0
TAMIL NADU,1,1,0,0,0,100.0,0.0,0.0,0.0
mizoram,1,1,0,0,0,100.0,0.0,0.0,0.0
himachal Pradesh,1,1,0,0,0,100.0,0.0,0.0,0.0
madhyapradesh,1,0,1,1,0,0.0,100.0,100.0,0.0
tamil Nadu,1,0,1,1,0,0.0,100.0,100.0,0.0
nagaland,1,1,0,0,0,100.0,0.0,0.0,0.0
up,1,1,0,0,0,100.0,0.0,0.0,0.0
westbengal,1,1,0,0,0,100.0,0.0,0.0,0.0
